mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin-1,origin-2,origin-3,0,0
33.0,-0.8552441147764176,-0.9823155113065067,-1.3422422002029586,-1.3880097308965371,0.6642915841356861,76,0,0,1,33.0,35.37180709838867
28.0,-0.8552441147764176,-0.7041909787606112,-0.6620168077890197,-0.40789747700269774,1.099438560659074,82,1,0,0,28.0,27.710163116455078
19.0,0.3205319048471203,0.3699451469338814,-0.11260399083930006,-0.39726975376770435,-0.9312473297833982,71,1,0,0,19.0,21.82782554626465
13.0,1.496307924470658,1.1947282434492954,1.1955217638028897,1.1449309734435658,-0.8587228336961673,76,1,0,0,13.0,15.787403106689453
14.0,1.496307924470658,1.1947282434492954,1.1955217638028897,1.495645840198349,-0.38731360912916474,73,1,0,0,14.0,14.040706634521484
27.0,-0.8552441147764176,-0.9247725045728732,-0.4265541719534256,-1.0278479990439817,0.33793135174314654,72,0,0,1,27.0,28.167606353759766
24.0,-0.8552441147764176,-0.5123809563151661,-0.3219041115820504,-0.12449152406953942,0.3016691036995305,82,1,0,0,24.0,24.538297653198242
13.0,1.496307924470658,2.3647693803665106,2.8960852448377365,2.0837131925346526,-1.6564922906557096,73,1,0,0,13.0,12.91838264465332
17.0,1.496307924470658,0.6384791783575046,0.1490211600891379,1.286633949910145,1.2444875528335357,77,1,0,0,17.0,16.935222625732422
21.0,0.3205319048471203,0.06304911102116924,-0.28266033894278475,-0.11268294269732448,0.5192425919612244,74,1,0,0,21.0,21.681148529052734
15.0,1.496307924470658,1.885244324252898,2.2420223675166415,1.0386537410936312,-2.5630484917460987,70,1,0,0,15.0,15.088658332824707
38.0,-0.8552441147764176,-0.9823155113065067,-0.9759669889031454,-1.1872638475688833,-0.20600236891108692,82,0,0,1,38.0,35.593788146972656
26.0,-0.8552441147764176,-0.9823155113065067,-0.897479443624614,-1.1990724289410981,1.7884212734877691,71,1,0,0,26.0,29.07563018798828
15.0,1.496307924470658,1.0604612277374839,1.1955217638028897,1.088249782856934,-1.112558570001476,72,1,0,0,15.0,14.98299789428711
25.0,-0.8552441147764176,-0.5123809563151661,-0.766666868160395,-0.5059087023920816,0.5192425919612244,74,1,0,0,25.0,26.40357208251953
12.0,1.496307924470658,1.8181108163969921,1.9803972165882036,2.343501982723381,-1.4751810504376317,71,1,0,0,12.0,12.649205207824707
31.0,-0.8552441147764176,-0.7809149877387893,-0.505041717231957,-0.4669403838637724,0.2291446076122996,82,1,0,0,31.0,27.804452896118164
17.0,0.3205319048471203,-0.29179943050290424,0.5414588864817949,0.2002444636663712,-0.713673841521705,78,0,1,0,17.0,21.762454986572266
16.0,1.496307924470658,1.9811493354756204,1.9803972165882036,1.4755712518655837,-1.6202300426120941,77,1,0,0,16.0,14.998208999633789
31.0,-0.8552441147764176,-0.9823155113065067,-0.9498044738103015,-1.1813595568827757,0.7368160802229183,82,0,0,1,31.0,35.51645278930664
22.0,-0.8552441147764176,-0.694600477638339,-0.7405043530675511,-0.542515304645948,0.88186507239738,72,0,1,0,22.0,28.32854461669922
22.0,0.3205319048471203,0.043868108776624726,-0.24341656630351904,-0.1622789844606272,-0.02469112869300909,70,1,0,0,22.0,20.790788650512695
22.0,0.3205319048471203,0.3699451469338814,0.2013461902748255,-0.1599172681861842,-0.31478911304193385,82,1,0,0,22.0,22.537750244140625
33.5,-0.8552441147764176,-0.9151820034506009,-0.5573667474176446,-1.057369452474519,0.1203578634814533,77,1,0,0,33.5,29.544538497924805
18.0,1.496307924470658,1.0892327311043006,0.6722714619460138,0.6300768256149947,-1.2938698102195538,70,1,0,0,18.0,16.486621856689453
44.0,-0.8552441147764176,-0.9247725045728732,-1.3684047152958023,-0.9924222549273368,3.275173443276008,82,0,1,0,44.0,36.28939437866211
